weight,n,rmse,sdev,pcor,scor,kcor
0.05846,195,2.021,2.026,0.548,0.595,0.419
0.00,195,1.976,1.981,0.569,0.641,0.457
0.01,195,1.929,1.934,0.602,0.658,0.467
0.02,195,1.920,1.925,0.601,0.660,0.469
0.03,195,1.931,1.936,0.588,0.646,0.459
0.04,195,1.955,1.960,0.573,0.624,0.439
0.05,195,1.988,1.993,0.559,0.608,0.429
0.06,195,2.027,2.032,0.546,0.591,0.415
0.07,195,2.070,2.076,0.534,0.579,0.406
0.08,195,2.116,2.121,0.525,0.569,0.398
0.09,195,2.164,2.169,0.516,0.562,0.392
0.10,195,2.212,2.218,0.508,0.553,0.386
0.11,195,2.261,2.267,0.502,0.546,0.381
0.12,195,2.311,2.317,0.496,0.540,0.376
0.13,195,2.360,2.366,0.490,0.533,0.371
0.14,195,2.409,2.415,0.485,0.527,0.367
0.15,195,2.457,2.463,0.481,0.522,0.363
0.16,195,2.504,2.511,0.477,0.516,0.358
0.17,195,2.551,2.558,0.473,0.514,0.356
0.18,195,2.597,2.604,0.469,0.510,0.353
0.19,195,2.642,2.649,0.466,0.506,0.351
0.20,195,2.687,2.693,0.463,0.502,0.348
0.21,195,2.730,2.737,0.460,0.499,0.345
0.22,195,2.773,2.780,0.458,0.495,0.342
0.23,195,2.814,2.821,0.455,0.491,0.339
0.24,195,2.855,2.862,0.453,0.488,0.336
0.25,195,2.895,2.902,0.450,0.484,0.333
0.26,195,2.934,2.942,0.448,0.482,0.331
0.27,195,2.972,2.980,0.446,0.481,0.331
0.28,195,3.010,3.017,0.444,0.478,0.328
0.29,195,3.046,3.054,0.443,0.476,0.327
0.30,195,3.082,3.090,0.441,0.474,0.325
0.31,195,3.117,3.126,0.439,0.473,0.325
0.32,195,3.152,3.160,0.437,0.471,0.324
0.33,195,3.186,3.194,0.436,0.471,0.323
0.34,195,3.219,3.227,0.434,0.470,0.323
0.35,195,3.251,3.259,0.433,0.468,0.322
0.36,195,3.283,3.291,0.431,0.467,0.321
0.37,195,3.314,3.322,0.430,0.466,0.320
0.38,195,3.344,3.353,0.429,0.465,0.319
0.39,195,3.374,3.383,0.427,0.463,0.318
0.40,195,3.404,3.412,0.426,0.462,0.317
0.41,195,3.432,3.441,0.425,0.463,0.317
0.42,195,3.461,3.470,0.424,0.462,0.317
0.43,195,3.488,3.497,0.423,0.462,0.316
0.44,195,3.516,3.525,0.422,0.460,0.315
0.45,195,3.542,3.551,0.421,0.460,0.315
0.46,195,3.569,3.578,0.420,0.460,0.315
0.47,195,3.594,3.604,0.419,0.459,0.314
0.48,195,3.620,3.629,0.418,0.459,0.314
0.49,195,3.644,3.654,0.417,0.459,0.315
0.50,195,3.669,3.678,0.416,0.458,0.313
0.51,195,3.693,3.702,0.415,0.458,0.313
0.52,195,3.717,3.726,0.414,0.456,0.312
0.53,195,3.740,3.749,0.413,0.455,0.311
0.54,195,3.763,3.772,0.412,0.454,0.311
0.55,195,3.785,3.795,0.411,0.453,0.310
0.56,195,3.807,3.817,0.411,0.453,0.310
0.57,195,3.829,3.839,0.410,0.453,0.310
0.58,195,3.850,3.860,0.409,0.452,0.309
0.59,195,3.871,3.881,0.408,0.452,0.309
0.60,195,3.892,3.902,0.407,0.451,0.308
0.61,195,3.912,3.922,0.407,0.451,0.308
0.62,195,3.932,3.943,0.406,0.451,0.308
0.63,195,3.952,3.962,0.405,0.450,0.307
0.64,195,3.972,3.982,0.405,0.449,0.307
0.65,195,3.991,4.001,0.404,0.448,0.306
0.66,195,4.010,4.020,0.403,0.448,0.306
0.67,195,4.028,4.039,0.403,0.448,0.305
0.68,195,4.047,4.057,0.402,0.447,0.305
0.69,195,4.065,4.075,0.401,0.447,0.305
0.70,195,4.083,4.093,0.401,0.447,0.305
0.71,195,4.100,4.111,0.400,0.447,0.304
0.72,195,4.118,4.128,0.400,0.446,0.304
0.73,195,4.135,4.145,0.399,0.446,0.304
0.74,195,4.152,4.162,0.398,0.446,0.304
0.75,195,4.168,4.179,0.398,0.446,0.304
0.76,195,4.185,4.195,0.397,0.445,0.303
0.77,195,4.201,4.212,0.397,0.445,0.303
0.78,195,4.217,4.228,0.396,0.444,0.303
0.79,195,4.233,4.244,0.396,0.444,0.302
0.80,195,4.248,4.259,0.395,0.444,0.302
0.81,195,4.264,4.275,0.395,0.444,0.303
0.82,195,4.279,4.290,0.394,0.444,0.302
0.83,195,4.294,4.305,0.394,0.443,0.302
0.84,195,4.308,4.320,0.393,0.443,0.302
0.85,195,4.323,4.334,0.393,0.443,0.302
0.86,195,4.337,4.349,0.392,0.444,0.303
0.87,195,4.352,4.363,0.392,0.444,0.303
0.88,195,4.366,4.377,0.391,0.444,0.302
0.89,195,4.380,4.391,0.391,0.444,0.302
0.90,195,4.393,4.405,0.390,0.444,0.302
0.91,195,4.407,4.418,0.390,0.444,0.302
0.92,195,4.420,4.432,0.390,0.443,0.302
0.93,195,4.434,4.445,0.389,0.443,0.302
0.94,195,4.447,4.458,0.389,0.443,0.302
0.95,195,4.460,4.471,0.388,0.443,0.302
0.96,195,4.472,4.484,0.388,0.443,0.302
0.97,195,4.485,4.497,0.388,0.442,0.302
0.98,195,4.498,4.509,0.387,0.442,0.302
0.99,195,4.510,4.522,0.387,0.442,0.302
1.00,195,4.522,4.534,0.386,0.442,0.302
